Wavalength (Ang)	Flux (x10^-17 erg/cm^2/s/Ang)
2827.0795181	9.2899797
2827.7299223	8.3180959
2828.3819502	5.4321044
2829.0325349	0.7769216
2829.6849236	8.1273885
2830.3358691	5.3922597
2830.9886187	8.2770974
2831.6399250	8.9495750
2832.2912313	7.9642335
2832.9443417	6.1787111
2833.5961892	5.2263748
2834.2494801	6.2512179
2834.9015081	4.9680535
2835.5553402	1.6688580
2836.2075485	8.8174202
2836.8601177	-1.3331248
2837.5143107	0.7148043
2838.1670603	5.6381209
2838.8214337	5.4953425
2839.4745441	8.0721123
2840.1292783	3.3307066
2840.7827496	-1.4789803
2841.4362209	1.1485796
2842.0914964	-5.9892400
2842.7453285	6.9312473
2843.4007844	9.1742208
2844.0549773	3.4297891
2844.7107940	2.8255705
2845.3651674	3.7976993
2846.0197212	2.3826397
2846.6760792	1.2676527
2847.3309938	2.0346764
2847.9875322	-0.6269435
2848.6426272	-5.8903255
2849.2995264	1.2493521
2849.9549823	2.6591600
2850.6106186	-3.2366623
2851.2680590	-10.8873809
2851.9238758	-7.4998731
2852.5816771	-3.6858935
2853.2378546	-2.1742146
2853.8958363	-1.4510024
2854.5523747	0.0204406
2855.2089131	0.0590912
2855.8674360	-7.4066246
2856.5243353	-2.4469449
2857.1830386	3.1565700
2857.8404791	0.1745401
2858.4993629	-2.6749006
2859.1569838	-3.2551807
2859.8147851	-5.0279750
2860.4742101	-1.5219608
2861.1321919	0.0579999
2861.7919778	-6.6063409
2862.4503203	-4.0714118
2863.1104670	-2.7331082
2863.7691704	-2.9085626
2864.4278738	-1.1003728
2865.0883814	1.8643540
2865.7476260	-3.9590077
2866.4083140	-5.1758119
2867.0677390	0.2999573
2867.7289683	0.4714277
2868.3887541	-4.5709557
2869.0485400	-5.0058476
2869.7101301	-6.3634450
2870.3702768	4.1091564
2871.0322277	3.2015178
2871.6927353	3.3826806
2872.3548666	-4.4481660
2873.0157350	-2.9578847
2873.6766034	-0.1386106
2874.3392759	-2.1305845
2875.0005052	-4.4941297
2875.6635386	-3.9343464
2876.3249482	3.1583589
2876.9883424	0.2758198
2877.6501129	-6.8273484
2878.3136876	-9.5226699
2878.9758189	-6.0949048
2879.6381306	-5.2286745
2880.3022465	-3.5402089
2880.9647387	-2.1975819
2881.6292154	-3.9761935
2882.2920684	-4.0002057
2882.9567256	-2.6904542
2883.6199394	-8.9840956
2884.2833336	2.2946173
2884.9483516	-2.1394245
2885.6121067	0.7359522
2886.2774855	8.0569562
2886.9416014	1.4462817
2887.6071606	-8.0015436
2888.2714570	-1.6383599
2888.9359337	4.4581199
2889.6022146	-4.5871253
2890.2668718	0.2561872
2890.9333331	-2.0475672
2891.5985315	-9.5381883
2892.2651732	-2.1384646
2892.9305521	-5.6590925
2893.5961113	1.0852558
2894.2632943	-3.9984336
2894.9292144	-7.8548436
2895.5967582	-0.9783521
2896.2628587	-1.5361364
2896.9307634	-4.5951476
2897.5972247	4.0313257
2898.2638664	-5.0638245
2898.9321319	6.0852479
2899.5989541	1.1328903
2900.2675804	-6.6841407
2900.9349438	-1.0045159
2901.6037506	-1.1934383
2902.2712944	-3.7442981
2902.9390187	-0.8323862
2903.6083667	-1.3890772
2904.2762713	0.3263758
2904.9461606	-6.1230585
2905.6144261	0.6574697
2906.2843154	2.6064194
2906.9529417	-0.9792778
2907.6217484	-4.3732392
2908.2921790	-1.7570352
2908.9611661	-4.6331836
2909.6321379	-8.0843867
2910.3014859	-5.2131451
2910.9724576	-3.9404964
2911.6421665	4.6683538
2912.3120557	-3.7323689
2912.9835688	1.2957974
2913.6536384	-0.3343576
2914.3255123	-1.1223799
2914.9959428	-2.0887613
2915.6681775	-0.7685747
2916.3389688	0.0171567
2917.0099406	-3.0015980
2917.6825361	-4.2290677
2918.3536882	2.1724333
2919.0266446	10.8221098
2919.6981576	4.0182106
2920.3714748	0.5664215
2921.0433486	-5.8066040
2921.7152225	-0.2930392
2922.3890809	0.0634605
2923.0613156	-0.2212213
2923.7353544	1.5896682
2924.4079500	-2.6432016
2925.0823497	-6.0564146
2925.7553060	-1.7409042
2926.4298861	3.6092304
2927.1032033	8.9173788
2927.7765205	4.5721251
2928.4516418	1.9901618
2929.1253198	-2.3907439
2929.8008020	-1.9900182
2930.4748409	-0.1336222
2931.1505035	-3.5341380
2931.8249032	-4.5656986
2932.4993029	0.1703214
2933.1755067	-3.6331743
2933.8502672	0.4746855
2934.5268319	6.5677466
2935.2019533	3.3191059
2935.8788788	-3.7537847
2936.5541806	-0.7564683
2937.2296628	3.6238723
2937.9071296	2.3730928
2938.5829726	-0.4945742
2939.2606198	-3.0766929
2939.9368237	-6.6058255
2940.6146513	-5.1683907
2941.2912160	0.9561758
2941.9677807	-1.1223721
2942.6461495	-0.8570561
2943.3232555	-1.6566301
2944.0018047	0.9536048
2944.6790911	1.6885508
2945.3581816	1.4692939
2946.0358288	1.9320391
2946.7134760	1.2366568
2947.3929274	5.5964525
2948.0711159	1.3472184
2948.7509281	1.9268760
2949.4292969	-4.6813351
2950.1092896	2.8451273
2950.7880193	-2.4989499
2951.4669294	-3.9993528
2952.1474632	0.7720011
2952.8265538	0.1951982
2953.5074485	-1.3029665
2954.1868999	2.4806809
2954.8681554	0.8932093
2955.5479676	-0.2877707
2956.2277798	7.2354863
2956.9095766	-4.9297049
2957.5897496	-8.0328108
2958.2717269	-2.1807488
2958.9524411	0.0124694
2959.6345988	-0.0678807
2960.3154935	-2.0431857
2960.9965686	-5.2141326
2961.6794479	-1.5167021
2962.3607034	1.0212803
2963.0437632	1.1255672
2963.7253795	2.0835387
2964.4088001	7.4286474
2965.0907773	5.4543268
2965.7729349	1.8446326
2966.4568967	-2.3994016
2967.1392348	-2.5690457
2967.8235574	3.8286172
2968.5062563	6.0769271
2969.1907593	-0.8172404
2969.8738191	0.5911508
2970.5570592	3.1326393
2971.2421035	-3.6333945
2971.9255240	-0.5825015
2972.6109292	0.8797803
2973.2947106	0.7865175
2973.9802961	2.2258450
2974.6646188	-0.4625605
2975.3489414	-1.6884559
2976.0348878	3.1116258
2976.7195713	1.3253008
2977.4060589	-3.1327714
2978.0909228	0.0194692
2978.7777713	3.8571855
2979.4629960	2.7362093
2980.1500249	2.0657282
2980.8356104	0.0856252
2981.5213764	-2.3018610
2982.2089466	2.7312505
2982.8948930	6.1843627
2983.5828239	-2.3491966
2984.2691312	-7.6509802
2984.9572426	-1.3499385
2985.6440910	1.5904322
2986.3309395	4.7845926
2987.0194117	-4.0468392
2987.7066211	-2.1550698
2988.3956345	-1.5405438
2989.0830243	-2.3939481
2989.7723986	2.0052132
2990.4601491	1.9535231
2991.1480801	-5.0374372
2991.8378153	-3.6917320
2992.5261071	-0.4886840
2993.2162031	0.2536003
2993.9048557	1.1717826
2994.5951321	-7.2614569
2995.2841456	0.5994102
2995.9731591	3.3098723
2996.6639768	3.2270555
2997.3533511	0.2352196
2998.0445296	-2.5703983
2998.7342647	-0.4780562
2999.4258041	-0.0091098
3000.1157196	1.3914570
3000.8059960	2.4390362
3001.4978962	-1.4323762
3002.1883530	1.5076951
3002.8807944	-0.5162205
3003.5716121	-3.9929032
3004.2640535	-4.1253595
3004.9552320	-2.3257774
3005.6465909	0.8057378
3006.3395736	0.8560968
3007.0312933	-1.8973552
3007.7246368	2.0208286
3008.4165370	1.9264596
3009.1102413	-3.5881119
3009.8025023	1.9587665
3010.4949437	2.8529536
3011.1891893	-0.0123552
3011.8819915	1.5666371
3012.5764175	-2.6978155
3013.2694002	-2.8195217
3013.9643674	2.2673105
3014.6577109	0.2269343
3015.3512349	0.8969740
3016.0465630	-0.4769553
3016.7404477	2.2634630
3017.4359562	1.9783215
3018.1302018	-2.4710501
3018.8262515	-2.7533615
3019.5206775	4.8957709
3020.2152840	1.6240317
3020.9116946	-2.1493803
3021.6066618	-2.8268284
3022.3034332	-4.0995530
3022.9987613	2.1260230
3023.6958936	3.8865025
3024.3914021	4.2772073
3025.0872714	0.0855067
3025.7847645	3.9687587
3026.4808143	2.3640578
3027.1788486	1.2421309
3027.8752592	1.5301703
3028.5734740	-0.6197738
3029.2702454	-3.1770642
3029.9670168	-3.0201655
3030.6655924	-1.9354601
3031.3627247	-1.9306413
3032.0620220	-2.6000402
3032.7595151	2.5206946
3033.4588123	-3.6934696
3034.1566663	-1.1655168
3034.8563244	-1.3826446
3035.5545391	-2.4456743
3036.2527539	-0.7736197
3036.9527728	0.6702776
3037.6517093	0.0336557
3038.3520890	-0.9509909
3039.0510255	-0.9222199
3039.7517661	0.4321860
3040.4510633	0.4486374
3041.1507214	0.8588464
3041.8518229	2.0627568
3042.5514810	2.8870588
3043.2533041	2.0549504
3043.9533230	-0.3566797
3044.6551461	-2.0103548
3045.3555259	0.0627060
3046.0562665	2.9597439
3046.7588113	1.5183186
3047.4595519	0.8426731
3048.1624575	4.6428752
3048.8635589	0.4996781
3049.5664646	-0.2874352
3050.2682877	-0.6125887
3050.9697499	-1.9902316
3051.6733772	-2.8861482
3052.3755612	-1.5061321
3053.0791885	1.8426269
3053.7817332	2.7297012
3054.4857213	1.1515164
3055.1886270	1.0517803
3055.8915326	-3.5577603
3056.5958815	-5.5590814
3057.2991480	-4.4997945
3058.0042186	2.4335029
3058.7078459	-1.0863166
3059.4129165	1.3498740
3060.1169046	3.2734826
3060.8208927	0.8048254
3061.5266850	-0.2353489
3062.2310340	3.7481007
3062.9371871	5.3827180
3063.6418969	-1.9167566
3064.3480500	-3.6199906
3065.0531206	4.1184578
3065.7581912	0.7958605
3066.4650660	3.7772759
3067.1704975	-1.4600704
3067.8780939	-0.5819090
3068.5835254	0.0118071
3069.2911219	1.2763538
3069.9972750	2.8184673
3070.7037889	0.1800424
3071.4117462	-3.2453720
3072.1182602	-3.4090603
3072.8265783	-2.6652928
3073.5334531	1.6964160
3074.2424929	2.9749157
3074.9497285	0.8691854
3075.6569642	-2.3439759
3076.3663648	-2.6658257
3077.0739613	-1.1868065
3077.7833619	0.9989971
3078.4916800	0.7868137
3079.2014415	-2.1842423
3079.9097596	-3.4749566
3080.6184386	-2.1648746
3081.3285609	-0.2409294
3082.0376007	-1.3937228
3082.7484447	-1.4723003
3083.4574845	-0.5858385
3084.1686893	-0.2668696
3084.8780899	-1.1418120
3085.5878514	0.1467667
3086.2990562	1.0076121
3087.0091785	1.5515202
3087.7211050	-1.0376183
3088.4312273	-5.1282434
3089.1435146	1.8892464
3089.8543585	1.5111777
3090.5666458	3.4620883
3091.2778507	-2.0956090
3091.9890555	-5.6448859
3092.7020644	-1.6969685
3093.4132692	-0.6075853
3094.1266391	0.7991887
3094.8385655	0.1753788
3095.5522962	1.3054102
3096.2642227	2.1670569
3096.9765100	-3.5377172
3097.6906014	-2.2645448
3098.4032496	-1.7472895
3099.1177019	3.2649853
3099.8307109	0.2019765
3100.5455240	-0.4110797
3101.2588938	-3.7180631
3101.9722637	-0.9065470
3102.6877985	3.9991475
3103.4015291	1.4866428
3104.1170640	-1.5861674
3104.8311554	0.0444470
3105.5470511	0.9837902
3106.2615034	1.6309915
3106.9759557	1.3544293
3107.6925730	0.7986196
3108.4073862	0.1666313
3109.1243644	3.6297380
3109.8395383	2.1020034
3110.5565165	1.3928577
3111.2724122	1.7967484
3111.9879470	1.8309375
3112.7056468	1.8087087
3113.4215425	2.3605430
3114.1396031	2.4905258
3114.8558596	0.0027442
3115.5742811	-2.3843159
3116.2908984	0.2436909
3117.0078766	5.1991424
3117.7266589	1.5079824
3118.4439979	-1.1407383
3119.1631411	-3.8278887
3119.8804801	4.0320392
3120.5999841	4.9518655
3121.3180447	1.1407697
3122.0361054	2.1607432
3122.7559702	1.5788806
3123.4743917	-0.3422602
3124.1946174	2.0244518
3124.9133997	4.1466309
3125.6339862	1.9633447
3126.3527686	-2.0388513
3127.0722726	1.0441548
3127.7932199	0.1394325
3128.5127239	1.9337547
3129.2343929	-1.2665149
3129.9542577	-3.5592642
3130.6759267	-0.0640484
3131.3961524	2.1402439
3132.1163781	0.9992701
3132.8387688	1.9285005
3133.5593553	4.3441888
3134.2821068	-1.8925603
3135.0030541	0.6073357
3135.7258056	1.0346577
3136.4474746	2.0459359
3137.1687828	-0.1070236
3137.8922560	-2.3959272
3138.6142858	-1.8955567
3139.3377590	-1.2576028
3140.0601497	-1.1524918
3140.7843445	0.1559216
3141.5067352	1.6586651
3142.2294867	2.4619365
3142.9540424	0.9674657
3143.6771547	1.6098488
3144.4020712	0.8841995
3145.1251836	-1.3300013
3145.8504609	0.8901050
3146.5742950	-2.5106780
3147.2999331	0.2567339
3148.0237672	5.3790075
3148.7479620	3.0920494
3149.4743219	-0.6037730
3150.1988775	-1.0038134
3150.9252374	-1.9080594
3151.6501539	1.6975444
3152.3768746	0.5545764
3153.1021520	-2.6629169
3153.8274293	0.4914318
3154.5545108	4.6585782
3155.2805099	1.0526086
3156.0079522	-4.1732036
3156.7339512	-2.3481399
3157.4617544	-0.4120286
3158.1884751	-1.7064563
3158.9148350	-1.1193534
3159.6433598	2.4644758
3160.3700805	3.9450665
3161.0989662	0.5606356
3161.8260477	-0.6509760
3162.5552943	-0.7667015
3163.2827366	1.2410164
3164.0105398	0.6987243
3164.7401472	1.2073183
3165.4683112	3.9049338
3166.1979186	3.5161433
3166.9264435	-1.7606204
3167.6567725	-1.2033536
3168.3852974	1.7067711
3169.1141830	-1.4955618
3169.8452338	1.4901075
3170.5744803	0.8007017
3171.3055310	-0.4301184
3172.0351384	0.4497863
3172.7665499	-4.6546802
3173.4965181	-1.3755109
3174.2264863	-0.3741565
3174.9582587	-2.7759205
3175.6889485	-0.0302691
3176.4210817	1.2212882
3177.1517716	1.0381262
3177.8846265	3.3766683
3178.6156772	2.8953090
3179.3467279	-0.7838440
3180.0799436	-2.6480850
3180.8117160	-2.5339647
3181.5449317	-2.8637070
3182.2770649	0.2503618
3183.0106414	-2.9435767
3183.7431355	-1.3037886
3184.4752687	1.8722723
3185.2099277	-1.2804527
3185.9424218	-3.9075119
3186.6770808	0.2289032
3187.4102965	2.0331715
3188.1453164	-1.1378389
3188.8785321	0.7988037
3189.6124695	2.0281093
3190.3478502	2.4737211
3191.0817876	0.5034543
3191.8175292	-0.8378063
3192.5518274	-1.6750884
3193.2879298	1.5656556
3194.0225888	-1.9925966
3194.7576087	-0.9649164
3195.4940719	0.3425065
3196.2294526	0.3680877
3196.9662767	1.7172830
3197.7016574	0.5625282
3198.4392031	-2.3901874
3199.1749447	-1.3911037
3199.9110471	0.4834177
3200.6489536	-0.8220524
3201.3850560	0.4870083
3202.1233234	1.3630463
3202.8601475	3.2155246
3203.5987757	4.6241224
3204.3355998	4.1886535
3205.0745888	1.9635562
3205.8117737	-0.3897974
3206.5493194	-0.2501979
3207.2886693	1.9038883
3208.0265759	1.6074046
3208.7662866	1.0335512
3209.5045540	5.1516657
3210.2446256	1.4092234
3210.9832538	-0.0552649
3211.7218820	-1.2719897
3212.4623144	-0.5959635
3213.2013035	-1.0020590
3213.9424576	1.9249198
3214.6818075	-0.8081483
3215.4229615	-1.6050790
3216.1626723	-1.5899651
3216.9027438	-0.6150970
3217.6446196	0.8151109
3218.3846911	-1.8325300
3219.1269277	-3.1104159
3219.8673601	-4.0639591
3220.6099575	0.5597125
3221.3507508	-0.6919678
3222.0919048	-1.7736203
3222.8348631	-5.6652212
3223.5763780	-3.2159413
3224.3196971	-0.3618263
3225.0612120	3.7376088
3225.8048919	0.5604915
3226.5471285	0.6777668
3227.2893650	3.0002774
3228.0337666	-1.6670624
3228.7763640	-1.3758202
3229.5207656	4.0624260
3230.2637238	-1.2227415
3231.0084863	0.0517308
3231.7518053	-0.7733471
3232.4954852	0.4810282
3233.2406085	-1.7187543
3233.9846492	-1.3245464
3234.7301333	-0.7556439
3235.4745349	0.5112091
3236.2203798	-0.3942736
3236.9651422	0.1804492
3237.7095438	2.5966457
3238.4564712	1.5134677
3239.2012336	-2.6403491
3239.9481611	-4.2051356
3240.6936452	-1.9663303
3241.4409334	-1.8774854
3242.1864175	-0.4930889
3242.9322624	-3.6200791
3243.6802723	-3.4619679
3244.4264781	-2.3715260
3245.1744880	0.9954572
3245.9210546	1.2154436
3246.6697862	-1.0259388
3247.4167136	-1.9293783
3248.1636410	1.3883374
3248.9127335	4.3047261
3249.6600217	0.9074166
3250.4094750	-2.0261327
3251.1571241	-0.0344032
3251.9069382	-3.6106907
3252.6549481	-0.9220897
3253.4033189	1.6806132
3254.1534938	-0.4408742
3254.9022254	-1.1579504
3255.6527612	0.7755193
3256.4014928	4.7653360
3257.1523894	0.6078834
3257.9018426	-1.7691697
3258.6512959	-1.4375223
3259.4029142	-2.4812032
3260.1527283	-0.4316113
3260.9043465	2.3362927
3261.6545215	-1.5365082
3262.4065006	-4.2275640
3263.1570363	-1.4712646
3263.9097371	-0.1550602
3264.6606337	-0.7535516
3265.4115303	0.9149154
3266.1645919	1.4203187
3266.9158494	-0.5014568
3267.6692718	-2.0270222
3268.4208901	-3.6675431
3269.1746733	-0.6893878
3269.9266524	-0.2427856
3270.6789924	-3.0490276
3271.4331365	-0.8634366
3272.1858373	0.6755621
3272.9403422	-2.4724536
3273.6934038	-3.5183357
3274.4482696	-4.6671830
3275.2013312	2.5570792
3275.9547537	-1.2924756
3276.7103411	2.8490206
3277.4641244	0.3968082
3278.2200727	3.0562048
3278.9742168	0.3468505
3279.7301651	-0.0468320
3280.4846700	1.3027792
3281.2395358	1.5926820
3281.9958449	1.1630559
3282.7510715	-1.4906801
3283.5081023	-2.0994711
3284.2633289	0.7460161
3285.0207206	0.1233924
3285.7763080	0.3468341
3286.5322563	-2.4147903
3287.2903696	3.0685194
3288.0463179	0.0566154
3288.8047920	-4.0046674
3289.5611011	0.2658525
3290.3199361	-0.0542314
3291.0766060	-2.9110105
3291.8339977	-1.1155629
3292.5928326	2.2727876
3293.3502242	0.9978844
3294.1097809	-1.0822796
3294.8675333	-0.9566549
3295.6274508	-3.5191409
3296.3855641	0.9625510
3297.1440382	-0.0811388
3297.9043165	0.9662370
3298.6627906	1.4020345
3299.4234298	-0.3495319
3300.1826256	-4.2386950
3300.9436255	1.2849672
3301.7028213	3.5271059
3302.4623780	1.3323229
3303.2240996	-0.9728123
3303.9840171	1.1850060
3304.7457387	1.1115065
3305.5060170	0.8904106
3306.2684603	1.2213129
3307.0290994	-5.3189480
3307.7897386	-0.2485506
3308.5525427	-1.7089135
3309.3135427	-1.8334052
3310.0767076	1.9320836
3310.8384293	0.0939088
3311.6015943	0.4664715
3312.3636767	-2.6141419
3313.1253984	-3.1049301
3313.8896458	-0.9439714
3314.6520891	-0.4132583
3315.4163366	-0.6922153
3316.1791408	-0.2602519
3316.9437491	-1.3287737
3317.7069141	-0.9395083
3318.4700790	1.1272345
3319.2350482	0.0205235
